source,target
SDGs,1: no poverty
SDGs,2: zero hunger
SDGs,3: good heath and well-being
SDGs,4: quality education
SDGs,5: gender equality
SDGs,6: clean water and sanitation
SDGs,7: affordable and clean energy
SDGs,8: decent work and economic growth
SDGs,9: industry innovation and infrastructure
SDGs,10: reduced inequality
SDGs,11: sustainable cities and communities
SDGs,12: responsible consumption and production
SDGs,13: climate action
SDGs,14: life below water
SDGs,15: life on land
SDGs,16: peace justice and strong institutions
SDGs,17: partnerships for the goals
1: no poverty,1.a.3: Sum of total grants and non-debt-creating inflows directly allocated to poverty reduction programmes as a proportion of GDP
1: no poverty,"1.b.1: Proportion of government recurrent and capital spending to sectors that disproportionately benefit women, the poor and vulnerable groups"
1: no poverty,"1.5.1: Number of deaths, missing persons and directly affected persons attributed to disasters per 100,000 population"
1: no poverty,1.5.3: Number of countries that adopt and implement national disaster risk reduction strategies in line with the Sendai Framework for Disaster Risk Reduction 2015-2030
1: no poverty,1.5.4: Proportion of local governments that adopt and implement local disaster risk reduction strategies in line with national disaster risk reduction strategies
2: zero hunger,2.1.1: Prevalence of undernourishment
2: zero hunger,"2.1.2: Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)"
2: zero hunger,2.2.1: Prevalence of stunting (height for age <-2 standard deviation from the median of the World Health Organization (WHO) Child Growth Standards) among children under 5 years of age
2: zero hunger,"2.2.2: Prevalence of malnutrition (weight for height >+2 or <-2 standard deviation from the median of the WHO Child Growth Standards) among children under 5 years of age, by type (wasting and overweight)"
2: zero hunger,2.3.1: Volume of production per labour unit by classes of farming/pastoral/forestry enterprise size
2: zero hunger,"2.3.2: Average income of small-scale food producers, by sex and indigenous status"
2: zero hunger,2.4.1: Proportion of agricultural area under productive and sustainable agriculture
2: zero hunger,2.5.1: Number of plant and animal genetic resources for food and agriculture secured in either medium or long-term conservation facilities
2: zero hunger,"2.5.2: Proportion of local breeds classified as being at risk, not-at-risk or at unknown level of risk of extinction"
2: zero hunger,2.a.1: The agriculture orientation index for government expenditures
2: zero hunger,2.a.2: Total official flows (official development assistance plus other official flows) to the agriculture sector
2: zero hunger,2.b.1: Agricultural export subsidies
2: zero hunger,2.c.1: Indicator of food price anomalies
3: good heath and well-being,3.1.1: Maternal mortality ratio
3: good heath and well-being,3.1.2: Proportion of births attended by skilled health personnel
3: good heath and well-being,3.2.1: Under-five mortality rate
3: good heath and well-being,3.2.2: Neonatal mortality rate
3: good heath and well-being,"3.3.1: Number of new HIV infections per 1,000 uninfected population, by sex, age and key populations"
3: good heath and well-being,"3.3.2: Tuberculosis incidence per 100,000 population"
3: good heath and well-being,"3.3.3: Malaria incidence per 1,000 population"
3: good heath and well-being,"3.3.4: Hepatitis B incidence per 100,000 population"
3: good heath and well-being,3.3.5: Number of people requiring interventions against neglected tropical diseases
3: good heath and well-being,"3.4.1: Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease"
3: good heath and well-being,3.4.2: Suicide mortality rate
3: good heath and well-being,"3.5.1: Coverage of treatment interventions (pharmacological, psychosocial and rehabilitation and aftercare services) for substance use disorders"
3: good heath and well-being,"3.5.2: Harmful use of alcohol, defined according to the national context as alcohol per capita consumption (aged 15 years and older) within a calendar year in litres of pure alcohol"
3: good heath and well-being,3.6.1: Death rate due to road traffic injuries
3: good heath and well-being,3.7.1: Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods
3: good heath and well-being,"3.7.2: Adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group"
3: good heath and well-being,"3.8.1: Coverage of essential health services (defined as the average coverage of essential services based on tracer interventions that include reproductive, maternal, newborn and child health, infectious diseases, non-communicable diseases and service capacity and access, among the general and the most disadvantaged population)"
3: good heath and well-being,3.8.2: Proportion of population with large household expenditures on health as a share of total household expenditure or income
3: good heath and well-being,3.9.1: Mortality rate attributed to household and ambient air pollution
3: good heath and well-being,"3.9.2: Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene (exposure to unsafe Water, Sanitation and Hygiene for All (WASH) services)"
3: good heath and well-being,3.9.3: Mortality rate attributed to unintentional poisoning
3: good heath and well-being,3.a.1: Age-standardized prevalence of current tobacco use among persons aged 15 years and older
3: good heath and well-being,3.b.1: Proportion of the target population covered by all vaccines included in their national programme
3: good heath and well-being,3.b.2: Total net official development assistance to medical research and basic health sectors
3: good heath and well-being,3.b.3: Proportion of health facilities that have a core set of relevant essential medicines available and affordable on a sustainable basis
3: good heath and well-being,3.c.1: Health worker density and distribution
3: good heath and well-being,3.d.1: International Health Regulations (IHR) capacity and health emergency preparedness
4: quality education,"4.1.1: Proportion of children and young people: (a) in grades 2/3; (b) at the end of primary; and (c) at the end of lower secondary achieving at least a minimum proficiency level in (i) reading and (ii) mathematics, by sex"
4: quality education,"4.2.1: Proportion of children under 5 years of age who are developmentally on track in health, learning and psychosocial well-being, by sex"
4: quality education,"4.2.2: Participation rate in organized learning (one year before the official primary entry age), by sex"
4: quality education,"4.3.1: Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, by sex"
4: quality education,"4.4.1: Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill"
4: quality education,"4.5.1: Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated"
4: quality education,"4.6.1: Proportion of population in a given age group achieving at least a fixed level of proficiency in functional (a) literacy and (b) numeracy skills, by sex"
4: quality education,"4.7.1: Extent to which (i) global citizenship education and (ii) education for sustainable development, including gender equality and human rights, are mainstreamed at all levels in: (a) national education policies; (b) curricula; (c) teacher education; and (d) student assessment"
4: quality education,4.a.1: Proportion of schools with access to: (a) electricity; (b) the Internet for pedagogical purposes; (c) computers for pedagogical purposes; (d) adapted infrastructure and materials for students with disabilities; (e) basic drinking water; (f) single-sex basic sanitation facilities; and (g) basic handwashing facilities (as per the WASH indicator definitions)
4: quality education,4.b.1: Volume of official development assistance flows for scholarships by sector and type of study
4: quality education,4.c.1: Proportion of teachers in: (a) pre-primary; (b) primary; (c) lower secondary; and (d) upper secondary education who have received at least the minimum organized teacher training (e.g. pedagogical training) pre-service or in-service required for teaching at the relevant level in a given country
5: gender equality,"5.1.1: Whether or not legal frameworks are in place to promote, enforce and monitor equality and non?discrimination on the basis of sex"
5: gender equality,"5.2.1: Proportion of ever-partnered women and girls aged 15 years and older subjected to physical, sexual or psychological violence by a current or former intimate partner in the previous 12 months, by form of violence and by age"
5: gender equality,"5.2.2: Proportion of women and girls aged 15 years and older subjected to sexual violence by persons other than an intimate partner in the previous 12 months, by age and place of occurrence"
5: gender equality,5.3.1: Proportion of women aged 20-24 years who were married or in a union before age 15 and before age 18
5: gender equality,"5.3.2: Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age"
5: gender equality,"5.4.1: Proportion of time spent on unpaid domestic and care work, by sex, age and location"
5: gender equality,5.5.1: Proportion of seats held by women in (a) national parliaments and (b) local governments
5: gender equality,5.5.2: Proportion of women in managerial positions
5: gender equality,"5.6.1: Proportion of women aged 15-49 years who make their own informed decisions regarding sexual relations, contraceptive use and reproductive health care"
5: gender equality,"5.6.2: Number of countries with laws and regulations that guarantee full and equal access to women and men aged 15 years and older to sexual and reproductive health care, information and education"
5: gender equality,"5.a.1: (a) Proportion of total agricultural population with ownership or secure rights over agricultural land, by sex; and (b) share of women among owners or rights-bearers of agricultural land, by type of tenure"
